ID,name,s4CuId,s4CuType,s4TaskListId,s4ObjNr
7f4df068-62a6-4962-aef4-b63015750f7e,"TX, OH, 1Ph, 25kVA, 21kV, 120/240",EOH_TX_1_PH599290,"TX, OH, 1Ph, 25kVA, 21kV, 120/240",00003820,CU00000000000014012790
29245c0e-ad22-4e29-b7d4-3aad64819a90,"TX, OH, 1Ph, 25kVA, 4.2/7.2, 120/240",EOH_TX_1_PH599340,"TX, OH, 1Ph, 25kVA, 4.2/7.2, 120/240",00003821,CU00000000000014012791
1beb9be8-8fea-4fe3-8336-20c1ae0f60db,"TX, OH, 1Ph, 25kVA, 2.4X4.8, 120/240",EOH_TX_1_PH599350,"TX, OH, 1Ph, 25kVA, 2.4X4.8, 120/240",00003822,CU00000000000014012792
b2595013-e262-4a6b-ae14-4bc17e89ab72,"TX, OH, 1Ph, 25kVA, 2.4X4.8, 240/480",EOH_TX_1_PH599360,"TX, OH, 1Ph, 25kVA, 2.4X4.8, 240/480",00003823,CU00000000000014012793
a6651f13-975f-4cfa-8e77-343b33990e35,"TX, OH, 1Ph, 50kVA, 2.4X4.8, 240/480",EOH_TX_1_PH599470,"TX, OH, 1Ph, 50kVA, 2.4X4.8, 240/480",00003824,CU00000000000014012794
c6b185b6-bd50-45b4-a1ec-5925885b3f9c,"TX, OH, 1Ph, 50kVA, 17kV, 120/240",EOH_TX_1_PH599550,"TX, OH, 1Ph, 50kVA, 17kV, 120/240",00003825,CU00000000000014012795
af1f730b-8eb8-4546-b8bc-b64c5b927c4d,"TX, OH, 1Ph, 50kVA, 17kV, 240/480",EOH_TX_1_PH599560,"TX, OH, 1Ph, 50kVA, 17kV, 240/480",00003826,CU00000000000014012796
e90703d7-2cc0-4956-8459-c302c49b692d,"TX, OH, 1Ph, 50kVA, 21kV, 120/240",EOH_TX_1_PH599570,"TX, OH, 1Ph, 50kVA, 21kV, 120/240",00003827,CU00000000000014012797
3abf88a1-0d1b-4bf1-aafb-715056c35a4d,"TX, OH, 1Ph, 50kVA, 4.2/7.2, 120/240",EOH_TX_1_PH599620,"TX, OH, 1Ph, 50kVA, 4.2/7.2, 120/240",00003828,CU00000000000014012798
9ab52a6b-7c8d-42aa-ac90-dbc05112de64,"TX, OH, 1Ph, 50kVA, 2.4X4.8, 120/240",EOH_TX_1_PH599630,"TX, OH, 1Ph, 50kVA, 2.4X4.8, 120/240",00003829,CU00000000000014012799
